基金名称,类型,代码,持有金额 (元),累计收益 (元),收益率 (%),是否定投,定投周期,定投金额 （元）
易方达黄金ETF联接C,黄金,002963,61118.93,26118.93,74.63,否,NA,NA
景顺长城科创50联接C,科创 50,021485,18241.91,14950.38,33.95,否,NA,NA
摩根日本精选股票(QDII)C,日本股票,019449,49673.65,10773.65,27.7,否,NA,NA
易方达人工智能ETF联接A,人工智能,012733,44021.07,8021.07,22.28,否,NA,NA
华夏科创50ETF联接A,科创 50,011612,30973.73,6973.73,29.06,否,NA,NA
华安黄金ETF联接 C,黄金,000217,31642.07,6642.07,26.57,否,NA,NA
广发纳斯达克100ETF联接(QDII)C,纳斯达克,006479,47947.78,6287.78,15.1,是,每日,10
广发中债7-10年期国开行债券指数A,债券,003376,100971.84,5769.72,5.82,否,NA,NA
华夏国证半导体芯片ETF联接A,半导体,008887,28217.39,4007.04,16.09,否,NA,NA
景顺长城纳斯达克科技市值加权ETF联接(QDII)E,纳斯达克科技,019118,26932.07,1432.07,5.66,否,每日,100
华夏有色金属ETF联接C,有色金属,016708,10429.5,429.5,4.29,否,NA,NA
博时标普500ETF联接(QDII)C,标普 500,006075,1177.45,177.45,17.74,否,NA,NA
华安三菱日联日经225ETF联接(QDII)C,日经 225,020713,1610.28,130.28,8.92,否,每日,10
摩根标普500指数(QDII)C,标普 500,019305,497.58,-2.42,-0.6,否,每日,50
宏利印度机会股票(QDII)A,印度股票,006105,886.7,-113.3,-11.33,否,NA,NA
大成恒生科技ETF联接(QDII)A,恒生科技,012979,9754.63,-245.37,-2.45,否,NA,NA
万家中证半导体材料设备主题ETF联接A,半导体,023828,19632.27,-367.73,-1.84,否,NA,NA
富国中证军工指数(LOF)A,军工,161024,10000,0,0,否,NA,NA
国泰中证煤炭ETF联接A,煤炭,008279,500,0,0,是,每日,500
华宝油气A(QDII-LOF),石油,162411,500,0,0,是,每日,500
